Campus,Faculty,Experience,KUR3_suggest,KUR_suggest,KURX_suggest,Inform_suggest
Bangkhen,Science,16-20 ปี,0,0,0,0
KamphaengSaen,LiberalArts_and_Science,11-15 ปี,0,0,0,0
SakonNakon,Agro_industry,> 25 ปีขึ้นไป,ไม่มี,ไม่มี,0,ปรับปรุงให้เป็นปัจจุบันและมีความถูกต้องเป็นรายเดือน
KamphaengSaen,Education_and_Development_Sciences,11-15 ปี,เอกสารที่ใช้ตรวจสอบ ควรเป็น ตัว proposal,0,0,0
Bangkhen,Agro_industry,16-20 ปี,0,0,0,0
KamphaengSaen,Engineering,> 25 ปีขึ้นไป,0,0,0,0
Bangkhen,Fisheries,<= 5 ปี,-,-,-,-
Bangkhen,Science,> 25 ปีขึ้นไป,-,-,-,-
KamphaengSaen,Agriculture,> 25 ปีขึ้นไป,0,0,0,0
Bangkhen,Engineering,6-10 ปี,0,0,0,0
KamphaengSaen,Education_and_Development_Sciences,16-20 ปี,"การตอบกลับ น่าจะเพิ่มตัวอย่างข้อเอกสารที่ต้องการให้แนบมาด้วย
",0,0,-
Bangkhen,Integrated_Science,<= 5 ปี,หากเป็นโครงการวิจัยภายนอก อยากให้มีขั้นตอนเเจ้งเกี่ยวกับการนำเข้าโครงการวิจัยเพื่อให้ระบบสามารถดึงรายงานผลได้,0,0,0
Bangkhen,Agriculture,16-20 ปี,เวลากรอกข้อมูลผลงานวิจัยใหม่ แล้วต้องรอการอนุมัติ อนุมัติ/ไม่อนุมัติ/มีข้อเสนอแนะจาก สวพ. อยากให้มันเด้งมาแจ้งที่อีเมลด้วย จะสะดวกมาก,0,0,0
Bangkhen,Social_Sciences,16-20 ปี,ยากไปหน่อย แต่ชินไปแล้ว,0,0,0
Bangkhen,Forestry,11-15 ปี,0,0,0,0
Bangkhen,Humanities,6-10 ปี,0,0,0,0
Bangkhen,Education,> 25 ปีขึ้นไป,0,0,0,0
Bangkhen,Medicine,<= 5 ปี,0,0,0,0
Bangkhen,Agriculture,> 25 ปีขึ้นไป,-,-,-,-
Bangkhen,Agro_industry,> 25 ปีขึ้นไป,0,0,0,0
Sriracha,Management Sciences,21-25 ปี,0,0,0,"เจ้าหน้าที่ - บริการดี น่ารัก ยินดีช่วยเหลือ
ระบบ - ใช้งานง่าย ไม่มีปัญหาอะไร"
Bangkhen,Agriculture,6-10 ปี,0,0,0,0
KamphaengSaen,Rice_Science_Center,6-10 ปี,-,-,-,-
Bangkhen,Forestry,> 25 ปีขึ้นไป,0,บางครั้ง upload file ไม่ได้ หรือ save บันทึกการเปลี่ยนแปลงข้อมูลในแต่ละหน้าช้า,0,0
KamphaengSaen,Agriculture,11-15 ปี,0,0,0,0
Bangkhen,Architecture,> 25 ปีขึ้นไป,0,ควรมีส่วนแสดงว่าในการ submit ความก้าวหน้างานวิจัยในแต่ละครั้งจะต้องประกอบด้วยเอกสาร หรือองค์ประกอบอะไรบ้าง เพื่อการจัดเตรียมการก่อนล่วงหน้า ปัจจุบันจะต้องกรอกไปจนถึงหน้าสุดท้ายจึงจะทราบว่าต้องมีอะไรบ้าง,ควรมี instruction ให้ทราบการใช้งาน หลายครั้งต้องเดาเอาเอง หรือโทร.สอบถามเจ้าหน้าที่ แล้วทำไปด้วยกันทางโทรศัพท์,0
Bangkhen,Agriculture,16-20 ปี,0,0,0,0
Bangkhen,Agriculture,21-25 ปี,0,การขอกด approve โดยผู้ร่วมโครงการฯ เพิ่มขั้นตอนโดยไม่จำเป็น เอกสารแนบบางอันไม่แสดงในแบบพิมพ์โครงการ,0,ออกแบบให้ใช้งานง่าย หารายการง่าย ทันสมัย สบายตา
KamphaengSaen,Engineering,6-10 ปี,0,0,0,0
KamphaengSaen,Agriculture,<= 5 ปี,0,0,0,0
Bangkhen,Agriculture,> 25 ปีขึ้นไป,0,0,0,0
Bangkhen,Engineering,11-15 ปี,การใส่เลข ISSN or ISBN ควรมีระบบตัดเครื่องหมาย dash ให้อัตโนมัติ,0,0,0
KamphaengSaen,Engineering,6-10 ปี,0,0,0,0
